Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
Brazil/2015/ZBRC321,Ky559000,2015-08-09,South America,Brazil,Brazil,Faria Et Al,Unpublished,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY559000,2015.60,Genbank,2015-08-09
EcEs089_16,Kx879604,2016-04-01,South America,Ecuador,Ecuador,Marquez Et Al,Genome Announc 5  8  E01673-16  2017 ,First Complete Genome Sequences Of Zika Virus Isolated From Febrile Patient Sera In Ecuador,https://www.ncbi.nlm.nih.gov/nuccore/KX879604,2016.25,Genbank,2016-04-xx
EcEs062_16,Kx879603,2016-04-01,South America,Ecuador,Ecuador,Marquez Et Al,Genome Announc 5  8  E01673-16  2017 ,First Complete Genome Sequences Of Zika Virus Isolated From Febrile Patient Sera In Ecuador,https://www.ncbi.nlm.nih.gov/nuccore/KX879603,2016.33,Genbank,2016-04-xx
Brazil/2016/ZBRX16,Ky559016,2016-04-25,South America,Brazil,Brazil,Faria Et Al,Unpublished,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY559016,2016.31,Genbank,2016-04-25
Paraiba_01,Kx280026,2015-01-01,South America,Brazil,Brazil,Tsetsarkin Et Al,Unpublished,Full-length Infectious Cdna Clone Of Zika Virus From 2015 Epidemic In Brazil  Development And Characterization Of Recombinant Viruses In Cell Lines From Human Placenta Testis And Brain,https://www.ncbi.nlm.nih.gov/nuccore/KX280026,2016.00,Genbank,2015-xx-xx
Brazil_2015_MG,Kx811222,2016-06-14,South America,Brazil,Brazil,Green Et Al,Unpublished,Zika Viral Sequence Identified In Fortaleza Brazil,https://www.ncbi.nlm.nih.gov/nuccore/KX811222,2016.45,Genbank,2016-06-14
Rio_S1,Ku926310,2016-01-29,South America,Brazil,Brazil,Bonaldo Et Al,Plos Negl Trop Dis 10  6  E0004816  2016 ,Isolation Of Infective Zika Virus From Urine And Saliva Of Patients In Brazil,https://www.ncbi.nlm.nih.gov/nuccore/KU926310,2016.08,Genbank,2016-01-29
Natal_RGN,Ku527068,2015-01-01,South America,Brazil,Brazil,Mlakar Et Al,N. Engl. J. Med. 374  10  951-958  2016 ,Zika Virus Associated With Microcephaly,https://www.ncbi.nlm.nih.gov/nuccore/KU527068,2015.63,Genbank,2015-xx-xx
BeH823339,Ku729217,2015-01-01,South America,Brazil,Brazil,Faria Et Al,Unpublished,Zika Virus In The Americas  Early Epidemiological And Genetic Findings,https://www.ncbi.nlm.nih.gov/nuccore/KU729217,2015.37,Genbank,2015-xx-xx
Brazil/2015/ZBRA105,Ky558989,2015-02-23,South America,Brazil,Brazil,Faria Et Al,Nature 546  7658  406-410  2017 ,Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY558989,2015.15,Genbank,2015-02-23
